№ п/п;Штрих-код партии;Наименование товара;Поставщик;Дата приходного документа;Номер приходного документа;Дата накладной;Номер накладной;Кол-во;Сумма в закупочных ценах без НДС;Ставка НДС поставщика;Сумма НДС;Сумма в закупочных ценах с НДС
3575;2,01585E+11;Товар_2700;ЗАО «Большаков, Игнатов и Якушев»;27.04.2021;16000840.8;16.01.2021;nn-572/15;5.309987496;56.25;20.0;74.57;69.41
205;2,00257E+11;Товар_273;РАО «Большаков»;30.10.2021;2000221.8890931844;04.11.2021;nn-573/15;0.040001922;252.8;10.0;39.6;280.25
623;2,00221E+11;Товар_185;ОАО «Зайцева Кабанова»;19.09.2021;2000334.1936622292;23.10.2021;nn-574/15;0.218675308;801.95;10.0;79.26;881.59
3284;2,00632E+11;Товар_3635;РАО «Стрелков, Фокин и Казаков»;07.05.2021;2264394.38162326;11.07.2021;nn-575/15;0.853450925;263.76;10.0;19.15;281.24
804;2,00637E+11;Товар_5254;ЗАО «Лаврентьева»;09.09.2021;2067404.866129847;10.07.2021;nn-576/15;3.497889879;79.69;10.0;17.79;90.24
141;2,01493E+11;Товар_906;ИП «Панов»;14.06.2021;15842722.89170672;11.02.2021;nn-577/15;0.532876928;528.4;10.0;73.86;588.96
1604;2,00846E+11;Товар_1515;РАО «Степанов»;14.11.2021;2654441.189148578;21.10.2021;nn-578/15;0.040419973;сен.34;10.0;авг.82;окт.58
1407;2,01228E+11;Товар_2493;ЗАО «Исаев-Крюкова»;19.09.2021;6855569.703880491;21.10.2021;nn-579/15;0.281199689;1200.81;10.0;162.79;1377.48
808;2,00751E+11;Товар_111;ОАО «Артемьева, Крюков и Уварова»;06.06.2021;3251390.6892219204;14.08.2021;nn-580/15;3.131862726;793.82;10.0;87.97;927.87
2359;2,00698E+11;Товар_1985;НПО «Гущин-Виноградов»;22.06.2021;2692956.4883727003;24.06.2021;nn-581/15;4.258982349;520.22;20.0;53.65;583.53
3046;2,01445E+11;Товар_3646;ОАО «Кириллова, Веселов и Емельянова»;09.11.2019;12687319.842899922;01.10.2020;nn-582/15;3.655912397;60.21;10.0;30.сен;72.23
1975;2,00816E+11;Товар_1225;АО «Белоусов Стрелков»;02.04.2021;3141812.143979348;09.02.2021;nn-583/15;4.603122328;401.94;10.0;64.98;459.45
2848;2,01333E+11;Товар_4032;ЗАО «Харитонов-Громов»;21.07.2021;10633329.317874275;29.05.2021;nn-584/15;7.39693884;160.19;10.0;20.июн;176.36
2178;2,00773E+11;Товар_4629;ОАО «Вишнякова Никитин»;27.05.2021;2786618.1592192813;11.03.2021;nn-585/15;0.469109426;582.94;20.0;59.45;641.11
3960;2,00642E+11;Товар_4006;НПО «Самойлов»;13.09.2021;2245934.320689905;26.08.2021;nn-586/15;7.627559262;827.53;20.0;57.39;935.33
2246;2,00423E+11;Товар_2066;Мосметрострой;18.08.2021;2049646.05073029;06.09.2021;nn-587/15;2.313903159;243.22;10.0;43.79;281.72
3382;2,00587E+11;Товар_4897;ОАО «Артемьева-Комарова»;08.06.2021;2133630.355247961;07.04.2021;nn-588/15;3.673570539;198.46;10.0;34.48;214.81
