№ п/п;Штрих-код партии;Наименование товара;Поставщик;Дата приходного документа;Номер приходного документа;Дата накладной;Номер накладной;Кол-во;Сумма в закупочных ценах без НДС;Ставка НДС поставщика;Сумма НДС;Сумма в закупочных ценах с НДС
3892;2,01421E+11;Товар_3376;Familia;20.08.2021;12425195.046698151;27.07.2021;nn-000/15;5.627474291;591.23;20.0;50.76;688.46
2414;2,0106E+11;Товар_4599;Жданов Инкорпорэйтед;27.09.2021;6435988.943865575;13.09.2021;nn-001/15;2.810129294;133.74;20.0;13.51;151.51
4252;2,01533E+11;Товар_5756;Ефимова Инкорпорэйтед;13.10.2021;16000840.8;28.10.2021;nn-002/15;3.146248782;36.96;10.0;20.16;44.26
1732;2,00614E+11;Товар_3268;ОАО «Тарасов Вишнякова»;25.01.2021;2130367.7542680157;31.01.2021;nn-003/15;0.065828967;367.85;10.0;46.83;416.53
2402;2,00521E+11;Товар_2059;ЗАО «Кузнецов Некрасов»;24.07.2021;2224160.9058418083;08.06.2021;nn-004/15;1.073507169;332.66;10.0;71.81;397.4
4875;2,00223E+11;Товар_4413;ООО «Михайлов Сидорова»;15.09.2021;2002652.4555806215;29.08.2021;nn-005/15;18.56781273;759.88;10.0;105.33;841.8
4258;2,0014E+11;Товар_2644;ГК Великан;10.09.2021;2000010.8837247272;24.10.2021;nn-006/15;3.682997048;415.34;20.0;22.48;456.63
3005;2,00175E+11;Товар_1658;ГК Автомир;05.07.2021;2000028.9885875515;01.07.2021;nn-007/15;1.209748101;577.14;20.0;63.95;677.49
2959;2,00697E+11;Товар_1132;ОАО «Щербакова-Абрамова»;21.09.2021;2306942.6030888427;02.09.2021;nn-008/15;2.694226923;38.63;10.0;46.07;45.32
4822;2,00545E+11;Товар_3596;АО «Носков Чернов»;08.12.2021;2359644.741492231;09.12.2021;nn-009/15;5.387586036;361.03;20.0;22.83;389.16
1073;2,01492E+11;Товар_164;ЗАО «Герасимова-Веселов»;31.07.2021;14445008.738104824;25.08.2021;nn-010/15;4.120646851;45.35;10.0;апр.88;47.37
1334;2,00334E+11;Товар_272;Мерседес-Бенц Рус (Mercedes-Benz);26.10.2021;2003323.8690264423;11.11.2021;nn-011/15;0.467652576;689.95;10.0;43.75;739.3
625;2,01437E+11;Товар_3201;Лапин и партнеры;08.03.2021;16000840.8;19.06.2021;nn-012/15;0.532324448;1083.88;10.0;74.94;1222.93
2417;2,00239E+11;Товар_3055;ИП «Соболева, Артемьева и Вишняков»;13.11.2021;2000310.3554893408;22.11.2021;nn-013/15;0.418962436;40.59;20.0;17.47;50.64
4406;2,00492E+11;Товар_3862;Отисифарм;04.06.2021;2120580.7997698304;07.05.2021;nn-014/15;19.671129549;282.8;10.0;113.41;342.09
3829;2,01596E+11;Товар_5625;Денисова и партнеры;18.04.2021;16000840.8;06.07.2021;nn-015/15;4.926116786;288.33;10.0;25.59;305.74
986;2,0015E+11;Товар_1602;ОАО «Селиверстова-Гущин»;20.03.2021;2000026.3975447272;11.08.2021;nn-016/15;0.361248186;119.3;10.0;91.09;141.74
4734;2,01225E+11;Товар_5211;Крюков и партнеры;21.06.2021;7567590.879972623;25.03.2021;nn-017/15;9.445331628;172.42;10.0;75.61;210.33
4159;2,00551E+11;Товар_4965;Ершов Инк;27.08.2021;2502396.514995547;14.09.2021;nn-018/15;5.405467935;251.85;10.0;ноя.37;267.17
587;2,00897E+11;Товар_1435;ИП «Романова»;30.04.2021;3590469.5944573767;12.05.2021;nn-019/15;8.174284208;366.33;20.0;104.36;422.04
2352;2,00658E+11;Товар_1727;Егоров Инкорпорэйтед;21.10.2021;2210195.1727062;18.10.2021;nn-020/15;13.64542253;306.77;20.0;35.48;348.57
